U+120D0	𒃐
U+120A0	𒂠
U+120A1	𒂡
U+120A2	𒂢
U+120A3	𒂣
U+120A4	𒂤
U+120A5	𒂥
U+120A6	𒂦
U+120A7	𒂧
U+120A8	𒂨
U+120A9	𒂩
U+120AA	𒂪
U+120AB	𒂫
U+120AC	𒂬
U+120AD	𒂭
U+120AE	𒂮
U+120AF	𒂯
U+120B0	𒂰
U+120B1	𒂱
U+120B2	𒂲
U+120B3	𒂳
U+120B4	𒂴
U+120B5	𒂵
U+120B6	𒂶
U+120B7	𒂷
U+120B8	𒂸
U+120B9	𒂹
U+120BA	𒂺
U+120BB	𒂻
U+120BC	𒂼
U+120BD	𒂽
U+120BE	𒂾
U+120BF	𒂿
U+120C0	𒃀
U+120C1	𒃁
U+120C2	𒃂
U+120C3	𒃃
U+120C4	𒃄
U+120C5	𒃅
U+120C6	𒃆
U+120C7	𒃇
U+120C8	𒃈
U+120C9	𒃉
U+120CA	𒃊
U+120CB	𒃋
U+120CC	𒃌
U+120CD	𒃍
U+120CE	𒃎
U+120CF	𒃏
U+120D1	𒃑
U+120D2	𒃒
U+120D3	𒃓
U+120D4	𒃔
U+120D5	𒃕
U+120D6	𒃖
U+120D7	𒃗
U+120D8	𒃘
U+120D9	𒃙
U+120DA	𒃚
U+120DB	𒃛
U+120DC	𒃜
U+120DD	𒃝
U+120DE	𒃞
U+120DF	𒃟
U+120E0	𒃠
U+120E1	𒃡
U+120E2	𒃢
U+120E3	𒃣
U+120E4	𒃤
U+120E5	𒃥
U+120E6	𒃦
U+120E7	𒃧
U+120E8	𒃨
U+120E9	𒃩
U+120EA	𒃪
U+120EB	𒃫
U+120EC	𒃬
U+120ED	𒃭
U+120EE	𒃮
U+120EF	𒃯
U+120F0	𒃰
U+120F1	𒃱
U+120F2	𒃲
U+120F3	𒃳
U+120F4	𒃴
U+120F5	𒃵
U+120F6	𒃶
U+120F7	𒃷
U+120F8	𒃸
U+120F9	𒃹
U+120FA	𒃺
U+120FB	𒃻
U+120FC	𒃼
U+120FD	𒃽
U+120FE	𒃾
U+120FF	𒃿
U+121A0	𒆠
U+121A1	𒆡
U+121A2	𒆢
U+121A3	𒆣
U+121A4	𒆤
U+121A5	𒆥
U+121A6	𒆦
U+121A7	𒆧
U+121A8	𒆨
U+121A9	𒆩
U+121AA	𒆪
U+121AB	𒆫
U+121AC	𒆬
U+121AD	𒆭
U+121AE	𒆮
U+121AF	𒆯
U+121B0	𒆰
U+121B1	𒆱
U+121B2	𒆲
U+121B3	𒆳
U+121B4	𒆴
U+121B5	𒆵
U+121B6	𒆶
U+121B7	𒆷
U+121B8	𒆸
U+121B9	𒆹
U+121BA	𒆺
U+121BB	𒆻
U+121BC	𒆼
U+121BD	𒆽
U+121BE	𒆾
U+121BF	𒆿
U+121C0	𒇀
U+121C1	𒇁
U+121C2	𒇂
U+121C3	𒇃
U+121C4	𒇄
U+121C5	𒇅
U+121C6	𒇆
U+121C7	𒇇
U+121C8	𒇈
U+121C9	𒇉
U+121CA	𒇊
U+121CB	𒇋
U+121CC	𒇌
U+121CD	𒇍
U+121CE	𒇎
U+121CF	𒇏
U+121D0	𒇐
U+121D1	𒇑
U+121D2	𒇒
U+121D3	𒇓
U+121D4	𒇔
U+121D5	𒇕
U+121D6	𒇖
U+121D7	𒇗
U+121D8	𒇘
U+121D9	𒇙
U+121DA	𒇚
U+121DB	𒇛
U+121DC	𒇜
U+121DD	𒇝
U+121DE	𒇞
U+121DF	𒇟
U+121E0	𒇠
U+121E1	𒇡
U+121E2	𒇢
U+121E3	𒇣
U+121E4	𒇤
U+121E5	𒇥
U+121E6	𒇦
U+121E7	𒇧
U+121E8	𒇨
U+121E9	𒇩
U+121EA	𒇪
U+121EB	𒇫
U+121EC	𒇬
U+121ED	𒇭
U+121EE	𒇮
U+121EF	𒇯
U+121F0	𒇰
U+121F1	𒇱
U+121F2	𒇲
U+121F3	𒇳
U+121F4	𒇴
U+121F5	𒇵
U+121F6	𒇶
U+121F7	𒇷
U+121F8	𒇸
U+121F9	𒇹
U+121FA	𒇺
U+121FB	𒇻
U+121FC	𒇼
U+121FD	𒇽
U+121FE	𒇾
U+121FF	𒇿
U+122A0	𒊠
U+122A1	𒊡
U+122A2	𒊢
U+122A3	𒊣
U+122A4	𒊤
U+122A5	𒊥
U+122A6	𒊦
U+122A7	𒊧
U+122A8	𒊨
U+122A9	𒊩
U+122AA	𒊪
U+122AB	𒊫
U+122AC	𒊬
U+122AD	𒊭
U+122AE	𒊮
U+122AF	𒊯
U+122B0	𒊰
U+122B1	𒊱
U+122B2	𒊲
U+122B3	𒊳
U+122B4	𒊴
U+122B5	𒊵
U+122B6	𒊶
U+122B7	𒊷
U+122B8	𒊸
U+122B9	𒊹
U+122BA	𒊺
U+122BB	𒊻
U+122BC	𒊼
U+122BD	𒊽
U+122BE	𒊾
U+122BF	𒊿
U+122C0	𒋀
U+122C1	𒋁
U+122C2	𒋂
U+122C3	𒋃
U+122C4	𒋄
U+122C5	𒋅
U+122C6	𒋆
U+122C7	𒋇
U+122C8	𒋈
U+122C9	𒋉
U+122CA	𒋊
U+122CB	𒋋
U+122CC	𒋌
U+122CD	𒋍
U+122CE	𒋎
U+122CF	𒋏
U+122D0	𒋐
U+122D1	𒋑
U+122D2	𒋒
U+122D3	𒋓
U+122D4	𒋔
U+122D5	𒋕
U+122D6	𒋖
U+122D7	𒋗
U+122D8	𒋘
U+122D9	𒋙
U+122DA	𒋚
U+122DB	𒋛
U+122DC	𒋜
U+122DD	𒋝
U+122DE	𒋞
U+122DF	𒋟
U+122E0	𒋠
U+122E1	𒋡
U+122E2	𒋢
U+122E3	𒋣
U+122E4	𒋤
U+122E5	𒋥
U+122E6	𒋦
U+122E7	𒋧
U+122E8	𒋨
U+122E9	𒋩
U+122EA	𒋪
U+122EB	𒋫
U+122EC	𒋬
U+122ED	𒋭
U+122EE	𒋮
U+122EF	𒋯
U+122F0	𒋰
U+122F1	𒋱
U+122F2	𒋲
U+122F3	𒋳
U+122F4	𒋴
U+122F5	𒋵
U+122F6	𒋶
U+122F7	𒋷
U+122F8	𒋸
U+122F9	𒋹
U+122FA	𒋺
U+122FB	𒋻
U+122FC	𒋼
U+122FD	𒋽
U+122FE	𒋾
U+122FF	𒋿
U+1200A	𒀊
U+1200B	𒀋
U+1200C	𒀌
U+1200D	𒀍
U+1200E	𒀎
U+1200F	𒀏
U+1201A	𒀚
U+1201B	𒀛
U+1201C	𒀜
U+1201D	𒀝
U+1201E	𒀞
U+1201F	𒀟
U+1202A	𒀪
U+1202B	𒀫
U+1202C	𒀬
U+1202D	𒀭
U+1202E	𒀮
U+1202F	𒀯
U+1203A	𒀺
U+1203B	𒀻	
U+1203C	𒀼
U+1203D	𒀽
U+1203E	𒀾
U+1203F	𒀿
U+1204A	𒁊
U+1204B	𒁋
U+1204C	𒁌
U+1204D	𒁍
U+1204E	𒁎
U+1204F	𒁏
U+1205A	𒁚
U+1205B	𒁛
U+1205C	𒁜
U+1205D	𒁝
U+1205E	𒁞
U+1205F	𒁟
U+1206A	𒁪
U+1206B	𒁫
U+1206C	𒁬
U+1206D	𒁭
U+1206E	𒁮
U+1206F	𒁯
U+1207A	𒁺
U+1207B	𒁻
U+1207C	𒁼
U+1207D	𒁽
U+1207E	𒁾
U+1207F	𒁿
U+1208A	𒂊
